类别,来源,标题,内容,时间,当前链接,上级链接,下载时间
国际,新华网 　,韩国江原道一工厂爆炸致2人死亡,"  
　　新华社首尔5月23日电(记者陆睿 耿学鹏)韩国江原道江陵市一家工厂23日傍晚发生一起氢气罐爆炸事故，造成2人死亡、4人受伤。

　　据当地媒体报道，事发工厂位于江陵市大田洞科技园区，主要负责生产显示器设备所需的陶瓷零部件。当地时间傍晚6时20分(北京时间5时20分)许，工人正在对容量为400升的氢气罐进行测试。不料，氢气罐发生爆炸。

　　事故发生后，当地消防部门派遣150余人投入救援，目前尚有1名工人被困爆炸现场，搜救工作仍在进行中。

　　消防部门表示，正在分析爆炸原因以及评估事故造成的损失。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　据了解，爆炸没有引发火灾等后续事故。  

      ",5-23 21:55,http://www.chinanews.com/gj/2019/05-23/8845603.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:36
社会,澎湃新闻 　,上海一面包车侧翻3死4伤 58岁驾驶员排除酒驾毒驾嫌疑,"  
　　澎湃新闻记者从上海松江警方获悉，2019年5月23日5时许，上海市公安局松江分局接报警称，叶新公路近黄桥中心路口发生一起交通事故。

　　接报后，民警迅速到场处置。经初步调查，系朱某(男，58岁)驾驶面包车因操作不当致车辆侧翻后撞上路边行道树，造成1名乘客当场死亡，2名乘客经送医抢救无效死亡，另有4名乘客受伤，无生命危险。经检测，已排除朱某酒驾、毒驾嫌疑。

　　目前，事故原因正在进一步调查中。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 21:52,http://www.chinanews.com/sh/2019/05-23/8845602.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:36
国际,新华网 　,联合国官员呼吁国际社会关注加沙地带人道主义状况,"  
　　新华社加沙5月23日电(记者杨媛媛 赵悦)联合国近东巴勒斯坦难民救济和工程处(近东救济工程处)总干事皮埃尔·克朗恩布尔23日呼吁国际社会对加沙地带人道主义状况给予更多关注，并尽一切努力为加沙地带提供财政支持。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　克朗恩布尔当天在加沙地带召开的新闻发布会上说，对巴勒斯坦难民的帮助不应停止，近东救济工程处与各捐助方保持密切联系，以继续支持加沙地带难民。

　　克朗恩布尔说：“我们为加沙地带居民遭受的艰难人道主义状况表示遗憾。”他表示，生活在加沙地带的超过130万巴勒斯坦难民不仅面临食物和水资源短缺，也得不到应有的尊严和稳定的生活。

　　克朗恩布尔重申，虽然近东救济工程处的资金缺口已达约2亿美元，但该机构将继续履行联合国赋予的职责，为巴勒斯坦难民提供服务，维护他们的尊严，直到巴勒斯坦难民问题得到公正解决。

　　近东救济工程处成立于1949年，主要负责向生活在约旦河西岸、加沙地带以及约旦、叙利亚、黎巴嫩的巴勒斯坦注册难民提供人道主义救助、教育和医疗等服务。  

      ",5-23 21:49,http://www.chinanews.com/gj/2019/05-23/8845601.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:37
视频,未知,全国首例“暗刷流量”案宣判 收缴原被告全部非法所得,,5-23 21:49,http://www.chinanews.com/sh/shipin/cns/2019/05-23/news816955.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:38
财经,中国新闻网 　,北京启动东西城共有产权房申购 最低均价每平方米2.6万,"  
　　中新社北京5月23日电 (记者 于立霄)北京市住房和城乡建设委员会23日通报称，面向东城区、西城区的1200套专配房源将于近期启动申购，其中，有800套房源用于解决东城、西城两区符合北京共有产权住房申请条件的户籍家庭。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　属于北京市核心区的东城区、西城区，土地资源紧张，保障房主要靠外区调配。此次向东城区、西城区首批统筹调配的1200套房源，分别位于大兴区和房山区。其中，有800套房源用于解决两区符合北京市共有产权住房申请条件的户籍家庭，其余400套作为东城区、西城区直管公房申请式退租安置房源。

　　截至目前，北京市共有64个共有产权住房项目完成供地(含转化项目33个)，可提供房源约6.55万套；已有33个项目开通申购、房源3.46万套。另外，还有3万多套房源已经“在路上”。

　　北京市住建委负责人表示，共有产权住房切实解决无房家庭基本住房需求。截至目前，北京市累计申购且符合条件的家庭约23万户，与自住房相比，供需矛盾大大缓解。过去约400户家庭抢一套房，现在则变成7户家庭中就能摇中一套房，“中签率”大大提升，满足刚需群体住房需求。

　　统计数据显示，北京共有产权住房楼面地价较同区域、同时期“限竞房”低20%-40%，已销售的共有产权住房项目均价人民币2.62万元/平方米，套均总价235万元人民币，拉低2018年新建普通商品住房均价的9%左右，共有产权住房的持续入市对确保北京市房地产市场健康平稳发展起到关键作用。

　　该负责人表示，下一步北京市还将加大全市统筹调配力度，继续向东、西城区专项调配房源，促进房源合理配置，缓解中心城区住房供需矛盾。同时，根据有关专家意见建议，北京市住建委将加强政策研究，在项目选址、房源配售等方面加大工作协调力度，进一步优化相关政策，努力提升民众满意度。(完)  

      ",5-23 21:50,http://www.chinanews.com/cj/2019/05-23/8845596.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:38
视频,未知,围观！机器人还可以这么玩,,5-23 21:46,http://www.chinanews.com/sh/shipin/cns-d/2019/05-23/news816954.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:38
图片,未知,江西瑞金华屋村：昔日土坯房变独栋小楼,,5-23 21:46,http://www.chinanews.com/tp/hd2011/2019/05-23/884001.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:39
财经,新华网 　,松下和东芝否认停止与华为合作,"  
　　新华社东京5月23日电(记者钱铮 马曹冉)针对22日以来所谓的关于松下和东芝停止与华为合作的消息，这两家日本企业23日均表态说，此类消息不实，它们没有停止对华为的供货等合作。

　　日本松下公司总部公关部门23日晚间在给新华社记者的书面回复中说，一些报道中“停止供货”等表述与事实不符，公司目前仍在与华为进行不违反相关法令的交易。

　　松下电器(中国)有限公司23日也在其官方网站发表“严正声明”，指出一些网络媒体上的“断供”等表述不实，表示将在严格遵守所在国家和地区的相关法律及合规条例的基础上，“持续向华为等中国客户销售商品和提供服务”。

　　东芝中国官网23日发表一份声明说，有部分媒体称上海东芝公司已在内部宣布停止与华为的合作，但报道中所说的“上海东芝公司”并不存在。东芝集团“并未停止与华为的合作”。


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 21:45,http://www.chinanews.com/cj/2019/05-23/8845592.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:39
财经,中国新闻网 　,天津网信办与国网天津电力战略合作促天津能源转型,"  
　　中新网天津5月23日电 (张道正 马金龙)天津市委网信办与国网天津电力公司23日签署战略合作框架协议，双方将在数据资源共享、智慧应用开发、能源互联网生态圈等领域开展深度战略合作，充分发挥创新驱动、政策促动、开放联动、改革推动作用，共同促进天津能源转型，发展泛在电力物联网，服务智慧城市建设，打造数字经济示范城市。

　　根据协议，双方将共同创建数字经济示范城市，以滨海新区、天津北辰产城融合示范区等智慧能源小镇建设为平台，共同推进泛在电力物联网在天津落地实践和“大云物移智”等先进技术集成应用，共同打造京津冀大数据综合试验区、中新生态城全智慧场景，促进智慧能源服务智慧生活、支撑智慧城市建设，提升社会治理能力。



天津市委网信办主任王芸等人参观智慧能源小镇沙盘展示。　马金龙 摄

　　天津市委网信办与国网天津电力公司将联合开展能源大数据中心建设，构建“开放、智能、互动、高效”的天津市能源大数据支撑平台，实现向全市信息资源统一共享交换平台的对接和数据归集，打造能源大数据运营服务基地、协同创新基地、产业聚集基地，支撑枢纽型、平台型、共享型企业和泛在电力物联网、坚强智能电网建设，为我市发展提供高效协同的能源动力、共享互通的数据支撑、产业转型升级的持续动能。

　　同时，共同开展网络信息安全防护，联合建设能源行业网络与信息安全实验室，联合开展全市能源系统网络信息安全督察、涉密安全测评，承担重大活动网络信息安全保障任务，推进信息安全专家、技术和安全防护信息共享。联合开展能源数据开发应用，协同开展智慧应用体系开发，包括数据安全、数据共享、数据资源管理、数据模型、数据统一服务等，并创新数据服务场景，搭建测试环境，梳理数据应用需求，鼓励第三方开发与微应用接入能源大数据中心，打造典型城市能源大数据应用范本，为“三型两网”战略在津落地提供数字化支撑。

　　此外，根据协议，双方还将协同开展全媒体宣传、联合开展涉电舆情防控、深化网信专业队伍建设等。(完)


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();





  

      ",5-23 21:45,http://www.chinanews.com/cj/2019/05-23/8845590.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:39
国内,中央纪委国家监委网站  　,甘肃省司法厅原副巡视员魏兴刚严重违纪违法被开除党籍 ,"  
　　据甘肃省纪委监委消息：日前，经甘肃省委批准立案的甘肃省司法厅原副巡视员魏兴刚严重违纪违法案，甘肃省纪委监委已审查调查终结。

　　经查，魏兴刚在担任省监狱管理局党委委员、副局长，省司法厅副巡视员期间，违反政治纪律，隐匿财产，对抗组织审查，搞封建迷信活动；违反组织纪律，利用职权违规为他人职务晋升提供帮助；违反廉洁纪律，收受可能影响公正执行公务的礼品、礼金，纵容、默许亲属利用其职务影响谋利，他人支付应由个人支付的费用；违反工作纪律，干预和插手建设工程承发包及政府采购项目；违反国家法律法规；利用职务上的便利，为他人谋取利益并收受财物，涉嫌受贿犯罪。

　　魏兴刚身为党员领导干部，理想信念丧失，党性原则缺失。对党不忠诚、不老实，信仰动摇、迷信“大师”；无视干部选拔任用原则，收受好处为他人职务晋升谋利；插手工程项目，大搞利益输送；将教育改造罪犯的管理机关当成谋取私利的交易场所，利用手中权力大肆进行权钱交易。作为政法机关领导，对法律不敬畏，知法违法、执法犯法。其行为严重破坏了党员领导干部形象，且在党的十八大后不收敛、不收手、不知止，性质恶劣、情节严重，应予严肃处理。依据《中国共产党纪律处分条例》和《行政机关公务员处分条例》等有关规定，经甘肃省纪委常委会会议暨省监委委务会审议并报甘肃省委批准，决定给予魏兴刚开除党籍处分、取消退休待遇；收缴其违纪违法所得；将其涉嫌犯罪问题移送检察机关依法审查起诉，所涉财物随案移送。(甘肃省纪委监委)

　　魏兴刚简历


(function() {
    var s = ""_"" + Math.random().toString(36).slice(2);
    document.write('<div id=""' + s + '""></div>');
    (window.slotbydup=window.slotbydup || []).push({
        id: '2473874',
        container: s,
        size: '300,250',
        display: 'inlay-fix'
    });
})();







　　魏兴刚，男，汉族，1953年8月生，甘肃金塔人，1971年2月参加工作，1982年3月加入中国共产党，省委党校大学学历。

　　1971.02—1974.12 甘肃酒泉医药公司、靖远井儿川建井队工人

　　1974.12—1988.08 甘肃省劳教十一支队政治处干事(其间：1985.09—1988.08 中央劳改劳教管理干部学院劳改管理专业学习)

　　1988.08—1990.12 甘肃省劳改十一支队教育科科长

　　1990.12—1998.08 甘肃省武都监狱党委副书记、副政委

　　1998.08—1999.08 甘肃省武都监狱党委书记、监狱长

　　1999.08—2001.04 甘肃省酒泉监狱党委书记、监狱长

　　2001.04—2002.08 甘肃省监狱管理局党委委员、副政委

　　2002.08—2013.03 甘肃省监狱管理局党委委员、副局长(其间：2004.09—2006.12 省委党校本科班经济管理专业学习)

　　2013.03—2013.10 甘肃省司法厅副巡视员

　　2013年10月 退休  

      ",5-23 21:44,http://www.chinanews.com/gn/2019/05-23/8845591.shtml,http://www.chinanews.com/scroll-news/news2.html,2019-05-24 05:46:40
